ids,age,ageSds,position,thickness,distType
CV13,17.634,0.016,48.25,3.125,G
CV13,17.629,0.025,48.25,3.125,G
CV13,17.603,0.029,48.25,3.125,G
CV13,17.599,0.019,48.25,3.125,G
CV13,17.592,0.02,48.25,3.125,G
C5DnB,17.53,0.005,75.93,1,U
CO,17.119,0.113,84.5,2.5,G
CO,17.119,0.113,84.5,2.5,G
CO,17.18,0.133,84.5,2.5,G
CO,17.24,0.103,84.5,2.5,G
CO,17.351,0.104,84.5,2.5,G
CO,17.401,0.123,84.5,2.5,G
CO,17.431,0.113,84.5,2.5,G
CO,17.492,0.123,84.5,2.5,G
CO,17.613,0.133,84.5,2.5,G
C5DnT,17.24,0.005,91.1,1,U
KARG-15-09,17.028,0.032,151.5,1.8,G
KARG-15-09,16.997,0.023,151.5,1.8,G
KARG-15-01,16.854,0.012,161,0,G
KARG-15-01,16.85,0.014,161,0,G
KARG-15-01,16.849,0.016,161,0,G
KARG-15-01,16.846,0.021,161,0,G
KARG-15-01,16.836,0.015,161,0,G
Toba Blanca,16.883,0.018,175,0,G
Toba Blanca,16.859,0.038,175,0,G
Toba Blanca,16.823,0.03,175,0,G
CV-10,16.877,0.029,179,0,G
CV-10,16.833,0.025,179,0,G
CV-10,16.76,0.034,179,0,G
CV-10,16.751,0.057,179,0,G
CO3,16.397,0.088,193.5,1.5,G
CO3,16.468,0.098,193.5,1.5,G
CO3,16.601,0.086,193.5,1.5,G
CO3,16.644,0.081,193.5,1.5,G
CO3,16.656,0.083,193.5,1.5,G
CO3,16.667,0.113,193.5,1.5,G
CO3,16.678,0.079,193.5,1.5,G
CO3,16.685,0.082,193.5,1.5,G