source,hornblende,oxy.hornblende,enstatite,hypersthene,augite,epidote..clinozoisite,tremolite.actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,cummingtonite,height..ft.,sample,strat.pos,pc1,pc2
"Merced, upper",49,1,0,7,3,18,8,1,0,0,5,0,5,0,0,0,1,2,0,0,5005,670-108,1525.524,-2.775207375,0.851628793
"Merced, upper",32,5,3,16,13,10,4,0,2,1,5,1,3,1,0,2,0,2,0,0,4940,670-32,1505.712,-1.478442883,-2.038990098
"Merced, upper",35,1,0,30,25,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4915,670-107,1498.092,-6.583590891,-0.549396311
"Merced, upper",60,5,0,8,15,2,3,0,0,0,5,1,1,0,0,0,0,0,0,0,4895,670-40,1491.996,-4.832748045,2.758559133
"Merced, upper",77,4,0,2,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,670-106,1487.424,-5.443667235,-1.065731468
"Merced, upper",61,5,1,10,8,10,2,0,0,0,1,0,1,0,0,0,1,0,0,0,4875,670-105,1485.9,-5.57926711,-0.146149729
"Merced, upper",46,1,0,13,19,12,5,0,0,1,1,1,1,0,0,0,0,0,0,0,4860,670-30,1481.328,-3.642821883,1.671165264
"Merced, upper",56,1,0,5,19,10,3,1,1,0,2,0,1,0,1,0,0,0,0,0,4835,670-31,1473.708,-1.412822623,-0.765913814
"Merced, upper",71,5,0,0,3,8,5,2,1,0,4,0,0,1,0,0,0,0,0,0,4785,670-103,1458.468,1.38812138,-1.104262089
"Merced, upper",61,3,0,0,3,14,3,2,0,0,9,1,4,0,0,0,0,0,0,0,4725,670-102,1440.18,2.135333898,4.701070406
"Merced, upper",81,2,0,1,3,5,0,1,0,0,3,3,1,0,0,0,0,0,0,0,4675,670-42,1424.94,-0.837928653,4.035354331
"Merced, upper",44,0,1,18,24,7,3,0,0,1,2,0,0,0,0,0,0,0,0,0,4590,670-29,1399.032,-3.490584161,-2.707531821
"Merced, upper",36,0,0,29,23,3,5,0,1,0,2,0,1,0,0,0,0,0,0,0,4575,670-78,1394.46,-4.1912052,-1.103438415
"Merced, lower",37,2,3,0,3,11,13,13,3,7,2,0,2,0,2,0,0,2,0,0,4570,670-134,1392.936,7.920249501,-3.760682379
"Merced, lower",21,3,2,0,2,39,7,5,4,2,6,4,3,0,1,0,0,1,0,0,4555,670-77,1388.364,8.095975192,-0.456515132
"Merced, lower",24,2,3,0,3,18,10,16,1,5,7,4,5,0,0,0,0,2,0,0,4550,670-133,1386.84,8.048527404,-0.991996642
"Merced, lower",20,3,2,0,2,36,7,9,4,2,6,0,5,0,1,0,0,3,0,0,4520,670-76,1377.696,7.653882716,-3.086202051
"Merced, lower",17,0,1,1,4,24,17,11,7,6,4,2,1,0,1,1,0,3,0,0,4485,670-34,1367.028,6.256208367,-1.52792611
"Merced, lower",29,0,3,1,6,19,15,15,2,2,3,0,2,0,0,1,0,2,0,0,4475,670-75,1363.98,4.319395988,-3.859441594
"Merced, lower",37,4,2,0,7,22,9,8,1,2,5,1,2,0,0,0,0,0,0,0,4430,670-74,1350.264,6.064378049,-0.51905145
"Merced, lower",33,0,2,0,4,18,18,13,5,0,2,3,1,0,1,0,0,0,0,0,4395,670-35,1339.596,6.789131901,0.907076513
"Merced, lower",26,0,3,0,4,20,16,12,7,5,3,3,0,0,1,0,0,0,0,0,4330,670-72,1319.784,8.404100618,-1.670580181
"Merced, lower",22,1,4,0,4,17,14,15,9,4,3,0,3,0,0,0,0,4,0,0,4260,670-71,1298.448,7.663975709,-4.944339496
"Merced, lower",27,4,1,0,7,16,12,10,8,2,2,7,0,0,4,0,0,0,0,0,4160,670-70,1267.968,6.989532858,-1.396934977
"Merced, lower",36,3,1,0,1,19,12,9,6,2,2,4,0,0,3,0,0,2,0,0,4070,670-36,1240.536,7.873018529,-2.274019571
"Merced, lower",16,1,2,1,11,26,13,10,2,2,7,4,3,0,1,0,0,1,0,0,4045,670-37,1232.916,5.135497646,-1.545116181
"Merced, lower",29,2,1,0,5,23,8,10,3,2,8,2,2,0,2,0,0,3,0,0,3980,670-68,1213.104,8.06240551,-0.925458209
"Merced, lower",32,3,0,0,0,20,5,11,5,6,7,2,3,0,5,0,0,0,1,0,3735,670-66,1138.428,8.641433669,5.206258382
"Merced, lower",10,1,4,0,10,12,14,21,1,14,2,2,2,0,0,0,0,7,0,0,3700,670-65,1127.76,8.242115278,-2.74458254
"Merced, lower",47,1,0,0,0,21,8,4,2,5,5,2,3,0,2,0,0,0,0,0,3535,670-64,1077.468,8.32007045,3.87790792
"Merced, lower",22,2,3,0,5,27,8,3,6,6,6,0,9,0,1,0,0,2,0,0,3510,670-38,1069.848,7.556089688,-3.414926479
"Merced, lower",37,3,2,1,6,19,4,11,1,2,5,4,3,0,1,0,0,1,0,0,3405,670-59,1037.844,4.877429434,-1.16132326
"Merced, lower",51,2,1,0,0,9,2,1,5,2,10,0,9,0,3,2,0,1,2,0,3205,670-54,976.884,7.454050679,2.429690181
"Merced, lower",59,1,1,0,0,13,3,3,4,1,4,2,2,0,3,1,0,0,3,0,3140,670-53,957.072,7.718793301,5.282598155
"Merced, lower",49,0,0,0,0,17,2,7,7,2,5,3,3,0,5,0,0,0,0,0,2975,670-51,906.78,9.604598138,4.222744653
"Merced, lower",50,2,0,0,0,20,2,2,6,3,3,1,6,0,3,1,0,1,0,0,2790,670-48,850.392,8.189464943,3.185924929
"Merced, lower",39,1,1,0,1,20,3,9,3,5,7,1,5,0,0,1,0,4,0,0,2760,670-39,841.248,7.809228367,-0.470868656
"Merced, lower",44,1,2,0,1,18,2,2,6,1,7,1,3,0,3,3,0,1,5,0,2470,670-41,752.856,6.868868353,2.886504031
"Merced, lower",18,0,2,0,1,18,10,22,10,14,1,0,0,0,0,0,0,0,4,0,2320,670-118,707.136,7.34141369,-2.494847983
"Merced, lower",15,1,3,0,10,21,6,8,0,6,11,5,13,1,0,0,0,0,0,0,1980,670-117,603.504,5.740714591,2.488134072
"Merced, lower",16,2,1,0,5,28,3,5,6,7,7,4,9,1,2,0,0,4,0,0,1710,670-24,521.208,8.412532701,-0.621356856
"Merced, lower",38,2,1,1,4,20,6,6,1,4,9,2,6,0,0,0,0,0,0,0,1560,670-113,475.488,3.815682196,-0.315760774
"Merced, lower",59,1,0,0,0,20,7,6,3,0,3,0,0,0,1,0,0,0,0,0,1505,670-114,458.724,4.957031154,0.575705175
"Merced, lower",43,0,0,0,4,19,11,9,0,4,4,1,2,0,1,1,1,0,0,0,1030,670-119,313.944,4.990573084,5.621845883
"Merced, lower",32,0,1,0,1,27,6,7,5,4,13,1,1,0,0,0,0,2,0,0,580,670-27,176.784,8.716839438,-1.3186068
"Merced, lower",29,0,1,0,3,23,5,14,6,4,5,3,4,0,2,1,0,0,0,0,210,670-26,64.008,8.781760831,1.795842504
